model_name,auc_roc,auc_pr,accuracy,recall_sensitivity,precision,f1,specificity,threshold,tp,fp,tn,fn,selection_score
random_forest,0.9522381024429417,0.5897778339076967,0.5852,1.0,0.12341504649196956,0.2197140707298721,0.5594732370433305,0.25,146,1037,1317,0,0.8224499602452983
extra_trees,0.9175288928201487,0.5220274664460952,0.5052,1.0,0.10556760665220535,0.19097449313276652,0.4745114698385726,0.25,146,1237,1117,0,0.8010829003956202
logistic_regression,0.9059339393163487,0.38901546823227545,0.6496,0.9726027397260274,0.14003944773175542,0.24482758620689654,0.6295666949872557,0.25,142,872,1482,4,0.7970467488378458
gradient_boosting,0.950803645208971,0.6224726927934539,0.9504,0.5684931506849316,0.5763888888888888,0.5724137931034483,0.9740866610025488,0.25,83,61,2293,63,0.7413170017044527
