model_name,auc_ovr_macro,accuracy,recall_macro,precision_macro,f1_macro,f1_weighted,selection_score
gradient_boosting,0.9866109512446102,0.906,0.8734615734220246,0.909966602548733,0.8895271560872584,0.9056711131096808,0.8977104295859719
logistic_regression,0.9825742378062214,0.8792,0.8986782997495957,0.8454258450304017,0.8668480284906298,0.8799241801765578,0.8904401251017529
random_forest,0.9531210867586373,0.7812,0.8346072682517829,0.7372159988707295,0.7660719903062475,0.7824149880542342,0.8083630852738976
extra_trees,0.9229715452611614,0.7084,0.7678672346391158,0.6620754804963326,0.6812701232655873,0.7147926623691906,0.7368453742240859
